n,variability,zcorr,zerr1,zerr2,tcorr,terr1,terr2,total
6,1.000000,8180,1398,422,8366,1084,550,10000
6,3.000000,8110,1462,428,8324,1156,520,10000
6,5.000000,8079,1447,474,8277,1145,578,10000
6,3.000000,7427,46,2527,7062,31,2907,10000
7,1.000000,8296,1291,413,8487,1020,493,10000
7,3.000000,8356,1231,413,8537,994,469,10000
7,5.000000,8282,1318,400,8468,1045,487,10000
7,7.000000,8280,1296,424,8466,1043,491,10000
7,9.000000,8296,1285,419,8490,1011,499,10000
7,1.000000,8641,204,1155,8499,139,1362,10000
7,3.000000,8618,195,1187,8497,126,1377,10000
7,5.000000,8565,200,1235,8458,130,1412,10000
7,7.000000,8616,173,1211,8449,113,1438,10000
7,9.000000,8605,173,1222,8454,110,1436,10000
7,1.000000,8006,61,1933,7720,38,2242,10000
7,3.000000,7998,74,1928,7775,44,2181,10000
7,5.000000,7961,49,1990,7697,33,2270,10000
7,7.000000,7917,77,2006,7671,48,2281,10000
7,9.000000,7967,53,1980,7692,38,2270,10000
7,1.000000,7440,20,2540,7154,12,2834,10000
7,3.000000,7430,21,2549,7141,12,2847,10000
7,5.000000,7429,27,2544,7107,19,2874,10000
7,7.000000,7469,23,2508,7163,15,2822,10000
7,9.000000,7424,25,2551,7107,20,2873,10000
7,1.000000,6973,18,3009,6672,13,3315,10000
7,3.000000,7019,16,2965,6726,5,3269,10000
7,5.000000,6999,13,2988,6686,7,3307,10000
7,7.000000,6953,20,3027,6670,15,3315,10000
7,9.000000,7011,9,2980,6696,6,3298,10000
8,1.000000,8410,1224,366,8590,986,424,10000
8,3.000000,8417,1184,399,8579,967,454,10000
8,9.000000,8407,1188,405,8593,958,449,10000
8,1.000000,8692,155,1153,8570,103,1327,10000
8,5.000000,8705,128,1167,8572,92,1336,10000
8,7.000000,8705,140,1155,8563,102,1335,10000
8,9.000000,8755,122,1123,8633,78,1289,10000
8,1.000000,8117,43,1840,7891,29,2080,10000
8,3.000000,8132,36,1832,7891,23,2086,10000
8,5.000000,8099,39,1862,7885,24,2091,10000
8,7.000000,8061,42,1897,7852,30,2118,10000
8,9.000000,8098,44,1858,7884,27,2089,10000
8,1.000000,7488,17,2495,7216,11,2773,10000
8,3.000000,7536,14,2450,7268,8,2724,10000
8,5.000000,7497,12,2491,7259,2,2739,10000
8,7.000000,7442,12,2546,7178,10,2812,10000
8,9.000000,7549,11,2440,7254,6,2740,10000
8,1.000000,7083,6,2911,6808,6,3186,10000
8,3.000000,7052,7,2941,6784,5,3211,10000
8,5.000000,6987,9,3004,6705,8,3287,10000
8,7.000000,6989,7,3004,6722,5,3273,10000
8,9.000000,7057,4,2939,6800,1,3199,10000
9,1.000000,8527,1090,383,8658,892,450,10000
9,3.000000,8542,1062,396,8669,881,450,10000
9,1.000000,8148,24,1828,7956,20,2024,10000
9,3.000000,8121,17,1862,7919,12,2069,10000
9,5.000000,8133,30,1837,7955,22,2023,10000
9,7.000000,8209,25,1766,8024,20,1956,10000
9,9.000000,8151,21,1828,7938,16,2046,10000
9,1.000000,7607,2,2391,7383,2,2615,10000
9,1.000000,7172,3,2825,6919,3,3078,10000
9,3.000000,7114,4,2882,6871,3,3126,10000
9,5.000000,7087,1,2912,6835,1,3164,10000
9,7.000000,7148,7,2845,6897,7,3096,10000
9,9.000000,7165,0,2835,6934,0,3066,10000
5,5.000000,7333,85,2582,6874,60,3066,10000
5,9.000000,7332,100,2568,6928,59,3013,10000
5,7.000000,7309,104,2587,6924,54,3022,10000
10,3.000000,8865,73,1062,8771,51,1178,10000
11,9.000000,8260,8,1732,8087,6,1907,10000
8,3.000000,8693,139,1168,8562,93,1345,10000
9,7.000000,8525,1079,396,8663,894,443,10000
9,5.000000,8493,1115,392,8620,941,439,10000
9,9.000000,8748,99,1153,8621,77,1302,10000
9,9.000000,8500,1106,394,8629,909,462,10000
9,7.000000,8748,119,1133,8653,77,1270,10000
9,3.000000,7603,2,2395,7363,0,2637,10000
9,5.000000,7555,9,2436,7308,6,2686,10000
9,7.000000,7553,7,2440,7347,6,2647,10000
9,9.000000,7654,8,2338,7413,5,2582,10000
10,1.000000,8539,1099,362,8704,901,395,10000
10,3.000000,8632,1009,359,8780,826,394,10000
10,5.000000,8568,1091,341,8681,928,391,10000
10,7.000000,8600,1049,351,8712,891,397,10000
10,9.000000,8566,1080,354,8688,907,405,10000
10,1.000000,8870,86,1044,8750,61,1189,10000
10,7.000000,8860,80,1060,8768,57,1175,10000
10,1.000000,8253,12,1735,8073,8,1919,10000
10,3.000000,8223,15,1762,8053,9,1938,10000
10,5.000000,8222,17,1761,8088,8,1904,10000
10,7.000000,8239,11,1750,8066,6,1928,10000
10,9.000000,8248,15,1737,8072,13,1915,10000
10,1.000000,7665,2,2333,7455,1,2544,10000
10,3.000000,7679,5,2316,7497,3,2500,10000
10,5.000000,7690,5,2305,7495,4,2501,10000
10,7.000000,7607,9,2384,7423,8,2569,10000
10,9.000000,7661,2,2337,7425,1,2574,10000
10,1.000000,7213,2,2785,6962,2,3036,10000
10,3.000000,7134,4,2862,6938,2,3060,10000
10,5.000000,7138,5,2857,6910,4,3086,10000
10,7.000000,7171,2,2827,6973,1,3026,10000
10,9.000000,7168,2,2830,6946,2,3052,10000
11,1.000000,8622,1055,323,8736,906,358,10000
11,3.000000,8648,1005,347,8775,846,379,10000
11,5.000000,8596,1053,351,8730,888,382,10000
11,7.000000,8616,1045,339,8718,908,374,10000
11,9.000000,8678,996,326,8792,847,361,10000
11,1.000000,8892,59,1049,8806,42,1152,10000
11,3.000000,8916,54,1030,8813,39,1148,10000
11,5.000000,8861,66,1073,8768,53,1179,10000
11,7.000000,8882,59,1059,8802,38,1160,10000
11,9.000000,8870,67,1063,8787,53,1160,10000
11,1.000000,8313,10,1677,8171,8,1821,10000
11,3.000000,8329,13,1658,8170,8,1822,10000
11,5.000000,8360,8,1632,8207,3,1790,10000
11,7.000000,8246,11,1743,8111,5,1884,10000
11,3.000000,7790,3,2207,7592,2,2406,10000
11,5.000000,7726,2,2272,7525,1,2474,10000
11,7.000000,7757,3,2240,7580,3,2417,10000
11,9.000000,7758,2,2240,7557,2,2441,10000
11,1.000000,7197,3,2800,7013,0,2987,10000
11,3.000000,7284,0,2716,7064,0,2936,10000
