n,variability,zcorr,zerr1,zerr2,tcorr,terr1,terr2,total
23,3.000000,7792,23,3059,16797,18,3185,10000
23,7.000000,7883,17,2981,16878,13,3109,10000
23,1.000000,9005,754,1588,17674,673,1653,10000
23,9.000000,7827,29,3032,16818,22,3160,10000
24,1.000000,8976,1535,547,18058,1369,573,10000
24,3.000000,8959,1627,567,17938,1463,599,10000
24,5.000000,8995,1599,563,17965,1449,586,10000
24,7.000000,9042,1528,511,18109,1349,542,10000
24,1.000000,9213,11,3288,16549,8,3443,10000
24,3.000000,9221,6,3236,16606,5,3389,10000
24,5.000000,9259,5,3153,16697,4,3299,10000
24,7.000000,9243,7,3225,16627,7,3366,10000
24,9.000000,9190,9,3219,16621,7,3372,10000
24,1.000000,8777,1,3187,16636,1,3363,10000
24,3.000000,8779,1,3172,16641,0,3359,10000
24,5.000000,8777,0,3197,16659,0,3341,10000
24,7.000000,8759,0,3262,16569,0,3431,10000
24,9.000000,8758,2,3168,16680,1,3319,10000
24,1.000000,8276,4,3185,16676,2,3322,10000
24,3.000000,8306,1,3163,16676,1,3323,10000
24,5.000000,8265,0,3186,16668,0,3332,10000
24,7.000000,8314,4,3080,16772,3,3225,10000
24,9.000000,8272,1,3175,16669,1,3330,10000
24,1.000000,7879,17,3004,16852,13,3135,10000
24,5.000000,7865,22,3049,16800,19,3181,10000
24,9.000000,7853,853,2443,16701,757,2542,10000
23,1.000000,7748,0,4293,15512,0,4488,10000
23,5.000000,7798,0,4260,15507,0,4493,10000
23,9.000000,9266,9,2275,17577,7,2416,10000
22,3.000000,8990,763,2578,16644,679,2677,10000
22,7.000000,8989,770,2484,16717,694,2589,10000
22,1.000000,8700,0,1305,8644,0,1356,10000
22,5.000000,8720,1,2575,17298,1,2701,10000
24,9.000000,9028,1548,528,18074,1368,558,10000
24,7.000000,7919,836,2395,16765,731,2504,10000
24,3.000000,7860,18,2997,16860,15,3125,10000
25,1.000000,9038,1540,549,18041,1391,568,10000
25,3.000000,9046,1582,547,18025,1397,578,10000
25,5.000000,9000,751,2818,16385,682,2933,10000
25,7.000000,8976,754,275,9023,690,287,10000
25,9.000000,9052,703,250,9088,650,262,10000
25,1.000000,9240,930,1092,18044,811,1145,10000
25,3.000000,9302,1010,1029,18029,869,1102,10000
25,5.000000,9278,6,2206,17652,3,2345,10000
25,7.000000,9268,9,728,9238,7,755,10000
25,9.000000,9272,32,1542,18350,27,1623,10000
25,1.000000,8816,0,3721,16092,0,3908,10000
25,3.000000,8819,1,3674,16129,1,3870,10000
25,5.000000,8764,0,3695,16107,0,3893,10000
25,7.000000,8813,1,3699,16104,1,3895,10000
25,9.000000,8806,3,3267,16559,2,3439,10000
25,1.000000,8283,0,3713,16101,0,3899,10000
25,3.000000,8386,0,3639,16179,0,3821,10000
25,5.000000,8305,0,3660,16146,0,3854,10000
25,7.000000,8352,3,3122,16710,3,3287,10000
25,9.000000,8272,0,3231,16620,0,3380,10000
25,1.000000,7944,1,3525,16311,1,3688,10000
25,3.000000,7838,2,3616,16221,1,3778,10000
25,5.000000,7880,0,3582,16267,0,3733,10000
25,7.000000,7867,25,3014,16838,20,3142,10000
25,9.000000,7934,25,2969,16847,20,3133,10000
26,1.000000,9065,717,1119,18172,643,1185,10000
26,3.000000,8982,804,1144,18042,746,1212,10000
26,5.000000,9042,765,1154,18067,695,1238,10000
26,7.000000,9060,1596,537,18007,1425,568,10000
26,9.000000,9056,1559,533,18052,1383,565,10000
26,1.000000,9243,935,1033,18114,814,1072,10000
26,3.000000,9260,906,1055,18087,806,1107,10000
26,5.000000,9228,856,1082,18116,751,1133,10000
26,7.000000,9260,5,3239,16600,3,3397,10000
26,9.000000,9315,6,3246,16584,4,3412,10000
26,1.000000,8830,1,3687,16114,1,3885,10000
26,3.000000,8828,1,3259,16548,1,3451,10000
26,5.000000,8778,0,3274,16567,0,3433,10000
26,7.000000,8823,0,3283,16546,0,3454,10000
26,9.000000,8803,2,2650,17205,1,2794,10000
26,1.000000,8328,3,3179,16652,1,3347,10000
26,3.000000,8350,2,3157,16691,1,3308,10000
26,5.000000,8383,32,2535,17330,28,2642,10000
26,7.000000,8333,39,2640,17203,32,2765,10000
26,9.000000,8351,21,2619,17225,15,2760,10000
26,1.000000,7946,16,2970,16895,10,3095,10000
26,3.000000,7944,25,3057,16799,17,3184,10000
26,5.000000,7931,879,2381,16748,762,2490,10000
26,7.000000,7879,898,2447,16682,775,2543,10000
27,7.000000,8378,0,3443,16409,0,3591,10000
28,5.000000,8876,0,2430,17469,0,2531,10000
29,3.000000,8440,0,3671,16106,0,3894,10000
26,9.000000,7931,880,2389,16761,753,2486,10000
27,1.000000,9089,691,1529,17766,639,1595,10000
27,3.000000,9140,664,1025,18326,604,1070,10000
27,5.000000,9079,707,1034,18264,648,1088,10000
27,7.000000,9072,709,1061,18248,641,1111,10000
27,9.000000,9096,690,1026,18302,628,1070,10000
27,1.000000,9307,15,1509,18408,12,1580,10000
27,3.000000,9259,814,1034,18193,739,1068,10000
27,5.000000,9314,753,943,18342,681,977,10000
27,7.000000,9274,819,988,18229,735,1036,10000
27,9.000000,9317,793,947,18300,701,999,10000
27,1.000000,8833,737,1474,17819,663,1518,10000
27,3.000000,8794,0,3506,16350,0,3650,10000
27,5.000000,8810,0,3509,16366,0,3634,10000
27,7.000000,8821,0,3458,16384,0,3616,10000
27,9.000000,8764,0,3551,16319,0,3681,10000
27,3.000000,8374,0,3920,15909,0,4091,10000
27,5.000000,8320,0,3487,16363,0,3637,10000
27,9.000000,8383,0,3517,16356,0,3644,10000
27,3.000000,7891,0,3961,15888,0,4112,10000
27,5.000000,7981,1,3353,16528,0,3472,10000
27,7.000000,7937,0,3443,16432,0,3568,10000
27,9.000000,7993,0,3391,16488,0,3512,10000
28,1.000000,9058,710,1604,17660,659,1681,10000
28,3.000000,9072,698,1558,17712,644,1644,10000
28,5.000000,9097,718,1037,18261,658,1081,10000
28,7.000000,9038,733,1070,18186,681,1133,10000
28,9.000000,9007,748,1109,18154,681,1165,10000
28,3.000000,9303,25,1538,18371,18,1611,10000
28,1.000000,9280,17,1495,18418,12,1570,10000
28,5.000000,9278,772,979,18296,686,1018,10000
28,7.000000,9319,790,957,18287,720,993,10000
28,9.000000,9316,779,979,18266,712,1022,10000
28,1.000000,8859,781,1395,17870,684,1446,10000
28,3.000000,8837,805,1458,17762,717,1521,10000
28,9.000000,8818,0,1187,8765,0,1235,10000
28,1.000000,8454,0,3892,15956,0,4044,10000
28,3.000000,8409,0,3966,15905,0,4095,10000
28,5.000000,8401,0,3967,15875,0,4125,10000
28,7.000000,8397,0,3953,15894,0,4106,10000
28,9.000000,8449,0,3928,15913,0,4087,10000
28,1.000000,8025,1,3843,15999,1,4000,10000
28,3.000000,7955,0,3927,15902,0,4098,10000
28,5.000000,7946,0,3876,15957,0,4043,10000
28,7.000000,8029,0,3858,15950,0,4050,10000
28,9.000000,7947,0,3965,15897,0,4103,10000
29,1.000000,9060,731,1636,17611,673,1716,10000
29,3.000000,9039,704,1633,17640,643,1717,10000
29,5.000000,9078,693,1549,17736,637,1627,10000
29,7.000000,9078,678,1649,17647,614,1739,10000
29,9.000000,9014,763,1609,17608,706,1686,10000
29,1.000000,9316,833,994,18234,731,1035,10000
29,3.000000,9304,7,694,9279,6,715,10000
29,5.000000,9303,4,698,9274,4,722,10000
29,7.000000,9292,4,709,9265,4,731,10000
29,9.000000,9347,3,2644,17218,3,2779,10000
29,1.000000,8834,0,3664,16189,0,3811,10000
29,3.000000,8895,0,1110,8851,0,1149,10000
29,5.000000,8841,1,3226,16585,1,3414,10000
29,7.000000,8789,3,3409,16421,2,3577,10000
29,9.000000,8877,3,3267,16557,1,3442,10000
29,1.000000,8457,0,3683,16100,0,3900,10000
29,5.000000,8440,6,3166,16667,4,3329,10000
29,9.000000,8495,8,3098,16715,5,3280,10000
29,1.000000,8008,3,3505,16311,3,3686,10000
29,3.000000,8031,6,3656,16178,6,3816,10000
29,5.000000,8047,41,2973,16838,30,3132,10000
29,7.000000,7976,49,3025,16787,41,3172,10000
29,9.000000,8023,35,2947,16892,24,3084,10000
30,3.000000,8865,0,1140,8825,0,1175,10000
27,1.000000,8369,0,1631,8287,0,1713,10000
27,1.000000,7995,0,3840,16018,0,3982,10000
28,7.000000,8803,0,1202,8766,0,1234,10000
29,7.000000,8425,7,3119,16722,5,3273,10000
30,1.000000,9109,716,1143,18090,654,1256,10000
30,3.000000,9110,690,1205,18080,619,1301,10000
30,5.000000,9119,665,221,9164,609,227,10000
30,7.000000,9120,664,221,9167,601,232,10000
30,9.000000,9061,708,2850,16318,649,3033,10000
30,1.000000,9296,3,706,9270,3,727,10000
30,3.000000,9324,8,673,9296,6,698,10000
30,5.000000,9295,4,706,9273,4,723,10000
30,9.000000,9321,10,674,9307,8,685,10000
30,7.000000,9320,1,684,9283,1,716,10000
30,5.000000,8860,0,1145,8810,0,1190,10000
30,7.000000,8846,0,1159,8805,0,1195,10000
30,9.000000,8882,0,1123,8824,0,1176,10000
30,1.000000,8465,0,1540,8416,0,1584,10000
30,3.000000,8413,0,1592,8352,0,1648,10000
30,5.000000,8438,0,1567,8393,0,1607,10000
30,7.000000,8445,0,1560,8394,0,1606,10000
30,9.000000,8440,0,1565,8385,0,1615,10000
30,1.000000,8067,0,1941,7992,0,2008,10000
30,3.000000,8120,0,1889,8057,0,1943,10000
30,5.000000,7983,0,2017,7923,0,2077,10000
30,7.000000,7991,0,2009,7938,0,2062,10000
30,9.000000,8019,0,1981,7957,0,2043,10000
31,1.000000,9103,672,225,9162,607,231,10000
31,3.000000,9104,689,207,9152,635,213,10000
31,5.000000,9071,730,199,9123,670,207,10000
31,7.000000,9071,713,216,9124,651,225,10000
31,9.000000,9108,664,228,9154,613,233,10000
31,1.000000,9348,5,647,9329,2,669,10000
31,3.000000,9318,6,676,9291,5,704,10000
31,5.000000,9324,4,672,9299,4,697,10000
31,7.000000,9341,3,656,9321,3,676,10000
31,9.000000,9355,2,643,9334,1,665,10000
31,1.000000,8904,0,1096,8871,0,1129,10000
31,3.000000,8865,0,1135,8831,0,1169,10000
31,5.000000,8904,0,1096,8866,0,1134,10000
31,7.000000,8894,1,1105,8862,1,1137,10000
31,9.000000,8919,1,1080,8887,1,1112,10000
31,1.000000,8454,0,1546,8413,0,1587,10000
31,3.000000,8466,0,1534,8434,0,1566,10000
31,5.000000,8454,0,1546,8411,0,1589,10000
31,7.000000,8442,0,1558,8402,0,1598,10000
31,9.000000,8470,0,1530,8422,0,1578,10000
31,1.000000,8077,0,1923,8021,0,1979,10000
31,3.000000,8072,0,1928,8024,0,1976,10000
31,5.000000,8075,0,1925,8017,0,1983,10000
31,7.000000,7987,0,2013,7928,0,2072,10000
31,9.000000,7992,0,2008,7939,0,2061,10000
30,1.000000,8891,0,1114,8859,0,1141,10000
n,variability,zcorr,zerr1,zerr2,tcorr,terr1,terr2,total
2,3.000000,6887,1958,1155,6493,1016,2491,10000
2,7.000000,6652,1357,1991,6074,679,3247,10000
2,1.000000,6573,2997,430,6867,1759,1374,10000
2,1.000000,6816,1555,1629,6180,865,2955,10000
2,9.000000,6892,2006,1102,6513,1099,2388,10000
2,3.000000,6814,1572,1614,6170,855,2975,10000
2,7.000000,6484,3042,474,6842,1786,1372,10000
2,1.000000,6673,1384,1943,6050,734,3216,10000
2,7.000000,6570,1185,2245,5909,638,3453,10000
3,3.000000,7595,1033,1372,7246,623,2131,10000
2,5.000000,6537,1225,2238,5940,646,3414,10000
2,1.000000,6798,1997,1205,6398,1105,2497,10000
2,7.000000,6814,1537,1649,6287,789,2924,10000
2,1.000000,6562,1251,2187,5956,675,3369,10000
2,5.000000,6874,1984,1142,6429,1061,2510,10000
2,5.000000,6619,2957,424,6875,1751,1374,10000
2,3.000000,6747,1285,1968,6075,708,3217,10000
4,1.000000,7668,334,1998,7206,222,2572,10000
2,9.000000,6837,1532,1631,6214,861,2925,10000
3,1.000000,7359,663,1978,6821,380,2799,10000
2,7.000000,6861,1931,1208,6483,1032,2485,10000
3,3.000000,7301,713,1986,6783,420,2797,10000
2,3.000000,6558,3004,438,6874,1735,1391,10000
2,9.000000,6577,1396,2027,6028,716,3256,10000
3,9.000000,7281,2241,478,7615,1518,867,10000
2,5.000000,6784,1555,1661,6230,833,2937,10000
2,3.000000,6647,1151,2202,6050,570,3380,10000
3,7.000000,7658,1044,1298,7316,640,2044,10000
2,9.000000,6459,3083,458,6774,1845,1381,10000
6,9.000000,6878,41,3081,6508,33,3459,10000
5,7.000000,6807,68,3125,6371,47,3582,10000
5,5.000000,6899,64,3037,6474,51,3475,10000
3,1.000000,7654,1022,1324,7327,599,2074,10000
5,9.000000,7307,120,2573,6910,79,3011,10000
3,9.000000,7707,980,1313,7320,618,2062,10000
3,7.000000,7185,2297,518,7580,1580,840,10000
2,5.000000,6658,1331,2011,6035,731,3234,10000
3,5.000000,7384,682,1934,6842,421,2737,10000
5,3.000000,7263,113,2624,6847,76,3077,10000
5,5.000000,7240,99,2661,6857,59,3084,10000
4,9.000000,7288,204,2508,6795,132,3073,10000
4,1.000000,6825,186,2989,6352,126,3522,10000
5,7.000000,7789,169,2042,7416,107,2477,10000
5,7.000000,7359,120,2521,6942,83,2975,10000
5,1.000000,6866,79,3055,6496,52,3452,10000
3,9.000000,7091,491,2418,6496,289,3215,10000
5,9.000000,6907,69,3024,6514,42,3444,10000
3,7.000000,7031,487,2482,6474,303,3223,10000
5,9.000000,7779,167,2054,7427,110,2463,10000
6,1.000000,7387,69,2544,7041,44,2915,10000
5,1.000000,7239,104,2657,6863,59,3078,10000
7,5.000000,8309,1293,398,8496,1035,469,10000
3,9.000000,6853,388,2759,6258,231,3511,10000
5,5.000000,7763,175,2062,7408,119,2473,10000
7,3.000000,7495,38,2467,7189,31,2780,10000
3,3.000000,7315,2203,482,7621,1503,876,10000
6,7.000000,7894,106,2000,7613,72,2315,10000
5,9.000000,8295,404,1301,8085,276,1639,10000
11,7.000000,8632,1010,358,8755,859,386,10000
6,5.000000,6977,31,2992,6615,23,3362,10000
4,7.000000,7643,1859,498,7964,1334,702,10000
6,5.000000,7931,96,1973,7618,60,2322,10000
7,5.000000,7462,38,2500,7140,27,2833,10000
3,1.000000,7244,2234,522,7612,1504,884,10000
7,3.000000,8257,1324,419,8464,1047,489,10000
4,7.000000,7134,218,2648,6676,145,3179,10000
7,9.000000,7980,84,1936,7716,63,2221,10000
3,3.000000,7019,529,2452,6463,311,3226,10000
3,5.000000,7240,2246,514,7569,1545,886,10000
6,3.000000,8107,1452,441,8341,1116,543,10000
7,1.000000,7426,54,2520,7112,47,2841,10000
6,9.000000,7383,43,2574,7014,28,2958,10000
4,7.000000,7614,312,2074,7184,203,2613,10000
6,7.000000,8477,274,1249,8281,180,1539,10000
3,5.000000,6805,414,2781,6272,253,3475,10000
4,3.000000,7662,299,2039,7225,185,2590,10000
6,1.000000,6973,39,2988,6649,25,3326,10000
4,1.000000,7202,235,2563,6744,146,3110,10000
4,7.000000,8074,593,1333,7857,395,1748,10000
6,5.000000,8095,1465,440,8334,1132,534,10000
6,7.000000,8164,1420,416,8377,1112,511,10000
3,1.000000,7082,495,2423,6465,310,3225,10000
5,1.000000,8300,391,1309,8087,271,1642,10000
3,3.000000,6884,364,2752,6281,220,3499,10000
3,9.000000,7339,680,1981,6794,410,2796,10000
4,5.000000,6902,171,2927,6459,114,3427,10000
7,5.000000,8134,63,1803,7857,43,2100,10000
6,5.000000,8473,274,1253,8317,194,1489,10000
3,5.000000,7019,506,2475,6474,296,3230,10000
9,9.000000,8685,119,1196,8606,80,1314,10000
4,9.000000,8051,630,1319,7778,404,1818,10000
11,3.000000,8579,1072,349,8713,910,377,10000
6,1.000000,8476,257,1267,8303,164,1533,10000
4,7.000000,6816,170,3014,6329,113,3558,10000
2,9.000000,6648,1146,2206,6006,603,3391,10000
6,9.000000,8118,1444,438,8343,1119,538,10000
5,3.000000,8261,395,1344,8064,276,1660,10000
3,7.000000,6806,376,2818,6251,219,3530,10000
6,9.000000,8479,270,1251,8301,186,1513,10000
3,7.000000,7342,687,1971,6790,430,2780,10000
3,1.000000,6800,408,2792,6237,258,3505,10000
6,5.000000,7407,37,2556,7009,26,2965,10000
4,1.000000,8016,618,1366,7777,418,1805,10000
4,9.000000,7580,360,2060,7169,225,2606,10000
8,5.000000,8186,31,1783,7933,19,2048,10000
5,7.000000,7926,1619,455,8218,1208,574,10000
6,1.000000,8117,1440,443,8330,1142,528,10000
4,3.000000,6949,141,2910,6481,90,3429,10000
7,7.000000,7526,27,2447,7225,21,2754,10000
4,5.000000,7144,224,2632,6706,144,3150,10000
6,3.000000,8441,270,1289,8298,179,1523,10000
4,9.000000,7731,1784,485,7992,1301,707,10000
4,3.000000,8055,619,1326,7803,402,1795,10000
4,3.000000,7139,240,2621,6665,149,3186,10000
5,3.000000,6926,80,2994,6484,60,3456,10000
9,5.000000,8769,118,1113,8657,89,1254,10000
4,5.000000,7551,1972,477,7807,1488,705,10000
4,5.000000,7633,351,2016,7202,235,2563,10000
5,9.000000,7850,1666,484,8094,1286,620,10000
8,9.000000,8019,92,1889,7835,80,2085,10000
5,5.000000,8249,441,1310,8062,309,1629,10000
5,3.000000,7895,1648,457,8174,1246,580,10000
7,1.000000,8194,1381,425,8375,1129,496,10000
8,9.000000,8672,171,1157,8545,136,1319,10000
4,9.000000,6853,159,2988,6395,99,3506,10000
5,1.000000,7924,1638,438,8138,1287,575,10000
8,1.000000,7496,58,2446,7223,54,2723,10000
6,3.000000,7356,171,2473,7020,152,2828,10000
5,7.000000,8244,432,1324,8049,310,1641,10000
5,1.000000,7723,239,2038,7366,171,2463,10000
5,3.000000,7726,248,2026,7369,186,2445,10000
9,3.000000,8752,174,1074,8635,136,1229,10000
6,3.000000,7824,172,2004,7538,133,2329,10000
7,7.000000,8570,225,1205,8420,161,1419,10000
4,1.000000,7575,1937,488,7890,1429,681,10000
9,3.000000,8432,1183,385,8578,976,446,10000
6,7.000000,7345,126,2529,7010,113,2877,10000
9,1.000000,8714,147,1139,8611,121,1268,10000
7,9.000000,8298,1288,414,8497,1017,486,10000
4,3.000000,7637,1903,460,7978,1390,632,10000
7,9.000000,7009,69,2922,6718,63,3219,10000
4,5.000000,7895,696,1409,7671,473,1856,10000
11,3.000000,8890,77,1033,8810,64,1126,10000
9,9.000000,8109,65,1826,7930,57,2013,10000
7,9.000000,8518,268,1214,8386,209,1405,10000
7,3.000000,8535,256,1209,8399,194,1407,10000
11,7.000000,7231,33,2736,7039,31,2930,10000
7,1.000000,7113,46,2841,6754,42,3204,10000
7,7.000000,8008,111,1881,7726,89,2185,10000
11,9.000000,8613,1039,348,8756,862,382,10000
7,3.000000,6947,51,3002,6647,43,3310,10000
8,7.000000,8033,63,1904,7807,49,2144,10000
7,5.000000,6957,34,3009,6658,29,3313,10000
7,1.000000,7948,86,1966,7689,61,2250,10000
9,5.000000,8207,48,1745,7998,42,1960,10000
11,7.000000,7660,54,2286,7472,48,2480,10000
9,1.000000,7547,39,2414,7319,36,2645,10000
9,1.000000,8461,1166,373,8626,951,423,10000
11,9.000000,8876,105,1019,8779,88,1133,10000
11,5.000000,7713,29,2258,7532,26,2442,10000
9,7.000000,8133,47,1820,7924,45,2031,10000
8,9.000000,7001,46,2953,6747,44,3209,10000
8,7.000000,8644,192,1164,8503,150,1347,10000
11,1.000000,7716,31,2253,7534,28,2438,10000
8,7.000000,7511,30,2459,7214,27,2759,10000
8,3.000000,6961,28,3011,6729,26,3245,10000
9,7.000000,7559,46,2395,7331,42,2627,10000
9,3.000000,8188,37,1775,7986,32,1982,10000
11,9.000000,7204,27,2769,6985,27,2988,10000
8,3.000000,8055,70,1875,7843,58,2099,10000
7,7.000000,8155,1402,443,8320,1147,533,10000
9,7.000000,8759,145,1096,8641,121,1238,10000
9,7.000000,8448,1188,364,8615,980,405,10000
7,5.000000,8551,243,1206,8406,192,1402,10000
9,1.000000,7071,48,2881,6833,45,3122,10000
9,5.000000,7619,42,2339,7376,41,2583,10000
8,1.000000,8628,193,1179,8516,147,1337,10000
7,1.000000,8567,166,1267,8403,122,1475,10000
11,5.000000,7231,26,2743,7037,25,2938,10000
11,1.000000,8843,142,1015,8771,118,1111,10000
8,7.000000,7047,47,2906,6779,42,3179,10000
11,5.000000,8832,136,1032,8760,114,1126,10000
11,1.000000,7254,21,2725,7070,20,2910,10000
8,5.000000,7602,18,2380,7329,13,2658,10000
8,1.000000,7063,56,2881,6820,52,3128,10000
11,3.000000,7695,58,2247,7543,55,2402,10000
8,3.000000,7496,43,2461,7229,42,2729,10000
9,5.000000,7075,28,2897,6844,28,3128,10000
11,7.000000,8263,46,1691,8127,40,1833,10000
9,3.000000,7598,51,2351,7350,43,2607,10000
9,9.000000,8443,1180,377,8573,992,435,10000
10,7.000000,8189,45,1766,7995,41,1964,10000
10,7.000000,8811,100,1089,8721,87,1192,10000
9,3.000000,7070,40,2890,6829,37,3134,10000
11,7.000000,8885,107,1008,8811,87,1102,10000
10,9.000000,7232,18,2750,6993,16,2991,10000
11,1.000000,8264,47,1689,8134,42,1824,10000
10,5.000000,7164,29,2807,6913,28,3059,10000
10,1.000000,8785,111,1104,8674,87,1239,10000
11,9.000000,8290,33,1677,8147,30,1823,10000
10,3.000000,7630,48,2322,7424,47,2529,10000
10,9.000000,8773,136,1091,8688,115,1197,10000
9,7.000000,7056,54,2890,6812,51,3137,10000
10,1.000000,8525,1094,381,8650,924,426,10000
11,5.000000,8241,51,1708,8085,49,1866,10000
10,3.000000,8478,1120,402,8639,925,436,10000
5,5.000000,7936,1572,492,8169,1186,645,10000
3,5.000000,7661,992,1347,7330,608,2062,10000
8,5.000000,8696,134,1170,8576,92,1332,10000
10,1.000000,8243,17,1740,8082,13,1905,10000
8,5.000000,8327,1215,458,8477,1004,519,10000
10,7.000000,8545,1085,370,8679,890,431,10000
6,3.000000,7000,25,2975,6641,17,3342,10000
6,1.000000,7879,104,2017,7568,70,2362,10000
8,3.000000,8709,145,1146,8558,110,1332,10000
8,9.000000,8334,1231,435,8504,1001,495,10000
8,7.000000,8306,1267,427,8499,999,502,10000
7,9.000000,7507,19,2474,7178,10,2812,10000
8,3.000000,8422,1211,367,8583,992,425,10000
10,5.000000,7661,4,2335,7444,4,2552,10000
6,7.000000,6974,26,3000,6624,14,3362,10000
10,5.000000,8567,1061,372,8702,884,414,10000
8,1.000000,8093,50,1857,7876,36,2088,10000
10,1.000000,7223,2,2775,6983,2,3015,10000
10,5.000000,8215,13,1772,8022,8,1970,10000
9,1.000000,8187,27,1786,7973,20,2007,10000
11,5.000000,8593,1045,362,8733,876,391,10000
10,7.000000,7176,10,2814,6949,8,3043,10000
10,3.000000,7209,2,2789,7004,1,2995,10000
7,7.000000,7012,8,2980,6707,4,3289,10000
9,9.000000,7062,5,2933,6833,2,3165,10000
6,9.000000,7959,89,1952,7657,59,2284,10000
10,5.000000,8838,88,1074,8738,60,1202,10000
8,9.000000,7464,17,2519,7214,11,2775,10000
10,9.000000,8570,1063,367,8723,874,403,10000
9,9.000000,7571,19,2410,7339,16,2645,10000
8,1.000000,8393,1225,382,8549,1005,446,10000
11,3.000000,8299,8,1693,8163,5,1832,10000
10,9.000000,8180,16,1804,8031,12,1957,10000
11,3.000000,7258,5,2737,7042,5,2953,10000
7,3.000000,8034,63,1903,7761,40,2199,10000
8,5.000000,7060,7,2933,6763,5,3232,10000
10,9.000000,7759,6,2235,7560,4,2436,10000
10,1.000000,7591,3,2406,7384,2,2614,10000
10,7.000000,7672,10,2318,7442,7,2551,10000
10,3.000000,8830,95,1075,8757,62,1181,10000
11,9.000000,7745,4,2251,7553,1,2446,10000
9,5.000000,8432,1153,415,8587,950,463,10000
10,3.000000,8260,14,1726,8105,10,1885,10000
11,1.000000,8628,1005,367,8758,837,405,10000
17,1.000000,8012,2,1986,7890,2,2108,10000
13,9.000000,7314,3,2683,7149,3,2848,10000
12,9.000000,8696,960,344,8800,830,370,10000
12,5.000000,8337,6,1657,8205,5,1790,10000
18,3.000000,9111,27,862,9062,24,914,10000
12,5.000000,16974,983,2043,16931,832,2237,10000
14,3.000000,9027,44,929,8966,36,998,10000
15,5.000000,8755,927,318,8857,803,340,10000
13,5.000000,8326,11,1663,8216,10,1774,10000
14,9.000000,9030,35,935,8970,28,1002,10000
20,9.000000,8669,2,1329,8595,1,1404,10000
14,9.000000,7917,2,2081,7768,1,2231,10000
12,9.000000,8337,11,1652,8207,11,1782,10000
12,3.000000,17117,2118,765,17388,1767,845,10000
17,9.000000,7582,1,2417,7443,1,2556,10000
12,3.000000,7312,0,2688,7143,0,2857,10000
13,9.000000,8355,11,1634,8239,9,1752,10000
15,1.000000,7951,3,2046,7834,3,2163,10000
12,7.000000,7334,2,2664,7151,2,2847,10000
16,3.000000,8018,3,1979,7905,3,2092,10000
16,1.000000,8520,6,1474,8418,5,1577,10000
14,5.000000,7326,6,2668,7173,6,2821,10000
16,3.000000,7504,1,2495,7359,1,2640,10000
13,1.000000,8982,55,963,8910,48,1042,10000
17,3.000000,8850,839,311,8942,731,327,10000
14,1.000000,8726,941,333,8814,827,359,10000
14,9.000000,8746,930,324,8847,798,355,10000
15,7.000000,8498,4,1498,8415,2,1583,10000
18,5.000000,9112,21,867,9083,17,900,10000
13,7.000000,8404,8,1588,8283,7,1710,10000
19,9.000000,8114,2,1884,8032,2,1966,10000
19,7.000000,8942,763,295,9024,670,306,10000
12,7.000000,8898,65,1037,8816,52,1132,10000
19,7.000000,9152,19,829,9101,14,885,10000
14,5.000000,7895,6,2099,7763,6,2231,10000
13,7.000000,7301,3,2696,7126,3,2871,10000
21,1.000000,9205,12,783,9165,10,825,10000
12,7.000000,8339,17,1644,8207,16,1777,10000
16,3.000000,9096,26,878,9033,24,943,10000
17,3.000000,8545,7,1448,8464,7,1529,10000
17,7.000000,8866,830,304,8944,732,324,10000
13,7.000000,8988,55,957,8931,38,1031,10000
16,1.000000,7933,2,2065,7808,2,2190,10000
14,9.000000,7448,2,2550,7291,2,2707,10000
13,3.000000,7428,3,2569,7280,3,2717,10000
17,3.000000,7545,1,2454,7444,0,2556,10000
12,3.000000,8373,11,1616,8244,6,1750,10000
17,3.000000,8020,0,1980,7930,0,2070,10000
12,1.000000,8332,17,1651,8202,14,1784,10000
12,1.000000,8926,76,998,8855,56,1089,10000
19,9.000000,7644,1,2355,7548,1,2451,10000
19,9.000000,9080,25,895,9040,19,941,10000
13,7.000000,7811,5,2184,7662,4,2334,10000
21,1.000000,8937,782,281,9014,687,299,10000
12,9.000000,7294,8,2698,7111,7,2882,10000
19,7.000000,7655,0,2345,7550,0,2450,10000
12,1.000000,17279,1986,735,17501,1699,800,10000
12,3.000000,7815,8,2177,7653,8,2339,10000
12,9.000000,8949,63,988,8873,48,1079,10000
16,7.000000,7919,2,2079,7815,2,2183,10000
14,7.000000,7931,6,2063,7803,6,2191,10000
17,3.000000,9078,14,908,9029,11,960,10000
13,9.000000,9028,48,924,8960,37,1003,10000
13,3.000000,8953,53,994,8869,42,1089,10000
13,7.000000,8722,961,317,8827,826,347,10000
19,1.000000,8590,1,1409,8518,1,1481,10000
13,1.000000,8408,12,1580,8308,8,1684,10000
18,1.000000,8085,1,1914,7985,1,2014,10000
12,5.000000,8877,69,1054,8814,49,1137,10000
15,5.000000,8515,7,1478,8415,7,1578,10000
14,3.000000,8810,892,298,8929,750,321,10000
18,9.000000,8886,836,278,8957,745,298,10000
18,9.000000,139677973324887,139677973317264,2377,7506,0,2494,10000
20,3.000000,7616,0,2384,7524,0,2476,10000
19,3.000000,7710,0,2290,7578,0,2422,10000
12,7.000000,16464,944,2592,16390,795,2815,10000
18,9.000000,9109,15,876,9058,12,930,10000
